,size,phrase
es_gsd-ud-train_7825.graphml,9,Nasija es una película del año 2006.
es_gsd-ud-train_12948.graphml,19,"Se alimenta de insectos, que busca entre las hojas secas, las enredaderas y en el suelo."
es_gsd-ud-train_9745.graphml,24,"Aunque los tres distritos de las Azores y el Madeira (Funchal) se suprimieron en 1976, las respectivas federaciones siguen existiendo."
es_gsd-ud-train_3290.graphml,37,"A cambio de su capital y el riesgo, exigía nada menos que la mitad de los beneficios que produjese la empresa, aunque todo el peso de los trabajos de la conquista recaía sobre Valdivia."
es_gsd-ud-train_1588.graphml,50,"En el pasado se produjo un hundimiento del territorio provocado por el encuentro, frente a la península de Taitao, de tres placas tectónicas: la de Nazca y la Antártica que se mueven hacia el este, y la Sudamericana que se desplaza hacia el oeste."
es_gsd-ud-train_12830.graphml,47,"En sus palabras, el embajador de Viet Nam en este país, Tran Trong Toan resaltó el significado del seminario cuando ambos estados se preparan para celebrar el Año de Amistad en 2012 y el 20 aniversario del establecimiento de sus vínculos diplomáticos."
es_gsd-ud-train_8337.graphml,12,El municipio de Howards Creek se encuentra ubicado en las coordenadas.
es_gsd-ud-train_12958.graphml,27,"Siendo muy joven a finales del siglo XVI, Saakadze empezó a participar en las guerras contra los invasores de Georgia, junto a Simon I."
es_gsd-ud-train_9755.graphml,19,"Hugh Low (1824 -- 1905) fue un naturalista, administrador de Colonias, y explorador inglés."
es_gsd-ud-train_3280.graphml,19,Esta escuela esta situada en las mismas instalaciones de la escuela primaria construida en la década de 1920.
es_gsd-ud-train_7835.graphml,13,"La densidad de población era de 872,56 hab. / km²."
es_gsd-ud-train_8327.graphml,8,Devuelve el importe con las excusas pertinentes.
es_gsd-ud-train_12820.graphml,34,"El primer vuelo con el X - 15 fue el 19 de marzo de 1959, y el primer lanzamiento del avión experimental fue el 8 de junio del mismo año."
es_gsd-ud-train_1598.graphml,12,Y fue dueño de un muy famoso restaurante en Nueva York.
es_gsd-ud-train_5189.graphml,38,"El alejamiento del funcionalismo del modernismo está bien ilustrado por la adaptación de Venturi de la famosa máxima de Mies van der Rohe ""menos es más"" a ""Menos es más aburrido""."
es_gsd-ud-train_2856.graphml,12,Esos eran temas que los demócratas querían agregar a cualquier acuerdo.
es_gsd-ud-train_12684.graphml,29,"De hecho, los comerciantes vikingos extendieron la lengua por Europa hasta Rusia, haciendo del nórdico antiguo una de las lenguas más extendidas de su tiempo."
es_gsd-ud-train_9889.graphml,48,"El forajido Butch Cavendish (Christopher Lloyd) le tiende una emboscada a un grupo de Vigilantes de Texas, matando a todos excepto a John Reid (Klinton Spilsbury) que es rescatado por su viejo amigo comanche de infancia, Tonto (Michael Horse)."
es_gsd-ud-train_4483.graphml,13,A su vuelta dio una conferencia en la Academia de Ciencias Francesa.
es_gsd-ud-train_5810.graphml,30,"El ""Monumental de la Vicente López"" también apodado ""el Gigante del Norte"", nace en los años 20 siendo el primer estadio de Salta."
es_gsd-ud-train_9110.graphml,24,"El juego ha sido desarrollado por distintas compañías según la consola a la que fuera destinada, Luxoflux para PS3 y Xbox 360;"
es_gsd-ud-train_803.graphml,20,De ahí surgió la visión de enseñar acerca de cómo permanecer en Cristo para una vida espiritual más profunda.
es_gsd-ud-train_10805.graphml,32,"También se exploran las actitudes de las religiones hacia la homosexualidad, y el dilema de los homosexuales religiosos, divididos entre lo que son y aquello en lo que creen."
es_gsd-ud-train_8562.graphml,27,La música sintetiza la acción del drama y hace presentir que la ausencia de amor todavía existe en el mundo para causar males y víctimas.
es_gsd-ud-train_11496.graphml,22,"Su período fundamental de variación es de 92,26 días, durante el cual su brillo varía desde magnitud +6,10 a +8,80."
es_gsd-ud-train_5968.graphml,17,"Entre los peces se encuentran el róbalo, el pejerrey, el blanquillo y la vieja."
es_gsd-ud-train_7691.graphml,22,"Es ovovivíparo y el macho transporta los huevos en una bolsa ventral, la cual se encuentra debajo de la cola."
es_gsd-ud-train_9068.graphml,23,"Allí, aunque mantuvo unos números parecidos a los de Clippers jugó un papel muy importante en el resurgimiento de la franquicia."
es_gsd-ud-train_5800.graphml,28,"Nacida Kristina Jonasdotter en Smaland, hija de los campesinos Jonas Nilsson y Cajsa - Stina Månsdotter fue descubierta por un mentor que permitió su desarrollo vocal."
es_gsd-ud-train_9100.graphml,16,"Una vez separadas, cada una de ellas es interpretada por el decodificador y reproducida."
es_gsd-ud-train_2846.graphml,25,"La interpretó en una versión remezclada con varios sonidos árabes, también presentada en las siguientes ediciones del festival en 2010 y 2011."
es_gsd-ud-train_12694.graphml,16,"Finalmente, en la temporada 2011 / 12, asciende a Tercera División de España."
es_gsd-ud-train_5199.graphml,11,Por ahora son muchos los hombres que ocuparían la posición.
es_gsd-ud-train_4493.graphml,85,"El gobierno central decidió en el año 2009 que el Ministerio de Transportes y Comunicaciones (MTC) retomara la administración de la Autoridad Autónoma del Sistema Eléctrico de Transporte Masivo de Lima y Callao (AATE), encargando a una dependencia del ministerio llamada Provias Nacional la organización de una licitación pública internacional para la selección de la empresa que lleve a cabo las obras civiles del tramo faltante del tren y el equipamiento electromecánico del mismo."
es_gsd-ud-train_9899.graphml,20,El desayuno es casero y hasta las 11 de la mañana por lo que pudimos descansar y no madrugar.
es_gsd-ud-train_5978.graphml,44,"La red fue capturada en un operativo realizado en el sector Capotillo en la madrugada de este miércoles por agentes y miembros de las Fuerzas Armadas, que arrestaron a diez haitianos señalados como los cabecillas de la banda de traficantes de menores."
es_gsd-ud-train_8572.graphml,7,Ahora es un programa de pago.
es_gsd-ud-train_11486.graphml,26,"Una joven de 23 años fue degollada con una botella en una vivienda de la localidad bonaerense de William Morris, tras una violenta pelea."
es_gsd-ud-train_9078.graphml,17,La economista de izquierda Dilma Rousseff tomó posesión como presidenta de Brasil el día de hoy.
es_gsd-ud-train_7681.graphml,33,Sobre la roca desnuda se observa una formación esponjosa sobre la cual crecen líquenes y musgos desde los cuales surge el agua a la menor presión que se ejerza sobre su superficie.
