ID,Clasificación,Oración
1,Compleja,Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios.
2,Compuesta-Compleja,"Producto del fin del imperio y las invasiones germanas la población isleña cayó a 1 millón durante el período sajón, permaneciendo hasta el siglo XI cuando volvió a aumentar llegando a 5 a 7 millones en el siglo XV, pero tras la peste negra volvió a reducirse a solo 2 a 4 millones."
3,Compleja,"MADRID, 3 (EUROPA PRESS) Las tenistas españolas Anabel Medina, Carla Suárez, María José Martínez, Nuria Llagostera, Arantxa Parra y Lourdes Domínguez han decidido retirar su plante para disputar la próxima eliminatoria de la Copa Federación tras llegar a un acuerdo con la Real Federación Española de Tenis (RFET) después de más de cuatro horas de reunión en el Consejo Superior de Deportes (CSD) con la mediación del secretario de Estado para el Deporte, Jaime Lissavetzky."
4,Compleja,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes.
5,Simple,Aclarando hacia todo el mundo Valderrama Y Eduardo Son La Misma Persona.
6,Compleja,Es un bar disfrazado de restaurante la comida esta demasiado salada.
7,Compleja,"Pero es muy importante que el pueblo recuerde la traición de Mauricio Macri quien hoy se oculta en Italia, para evadir criticas ante una colosal deslealtad e incoherencia de su parte."
8,Compleja,"Creo que es importante que la democracia sea diálogo y no se responda a los conflictos sociales con bala "", indicó."
9,Compleja,"El siguiente paso fue un análisis de sangre, que también incluye un control de la fiebre glandular."
10,Simple,"Jugó de centrocampista en el Real Zaragoza y Hércules CF, en Primera División de España."
11,Compuesta-Compleja,"El sistema completo de una cámara de vídeo recibe el nombre de cadena de cámara y consta de la 'cabeza de cámara, que es la parte que está en el plató o en el lugar de la producción, y la estación base - o base station - que es la parte de la cámara que la une con el resto del sistema de producción."
12,Compleja,El municipio de Prosper (en inglés: Prosper Township) es un municipio ubicado en el condado de Lake of the Woods en el estado estadounidense de Minnesota.
13,Compleja,"La cárcel de San Miguel, oficialmente Centro Detención Preventiva San Miguel, es un recinto penal chileno, ubicado en la comuna de San Miguel, Santiago."
14,Compuesta-Compleja,"Recibe una supuesta bomba para cumplir su propósito, pero cuando intenta detonarla no pasa nada."
15,Simple,Christian González es una joven promesa de la actuación.
16,Compleja,"Según el censo de 2010, había 37 personas residiendo en Moquino."
17,Simple,"Jaime Lee Curtis debutaría en el cine con veinte años y de la mano de John Carpenter, con la cinta de terror Halloween (1978)."
18,Compleja,Fue llevado hasta el hospital de Verona en helicóptero donde falleció.
19,Compuesta-Compleja,"Vuelve a salir con su amigo el día de San Patricio y pasan la noche en un pub donde años más tarde sabrá que también estuvo la madre de sus hijos, que se deja allí un paraguas amarillo que Ted cogerá para resguardarse de la lluvia."
20,Compuesta-Compleja,Ya es tiempo de identificar y condenar a estos cómplices de los crímenes contra la humanidad cometidos en Libia por las élites occidentales y sus gobiernos títeres.
21,Simple,Tiene 2 madres.
22,Compuesta-Compleja,El Sevilla cerrará el fichaje de un central en los próximos días y se trata de un futbolista que se llama Spahic y juega actualmente en el Montpellier francés donde disputa la Ligue 1 desde hace varios años junto a otros jugadores.
23,Compleja,Los lugareños dicen que los «demonios» que se han aventurado a ofender al Señor Śivá de esta manera han muerto todos en el intento.
24,Compleja,"Ella al enterarse de que él podía estar vivo, gracias a Daniel, insiste en ir también."
25,Simple,Su grabación de Las cuatro estaciones de Vivaldi es un buen ejemplo de su estilo.
26,Compuesta,Una de las primeras jugadas del partido estuvo en los pies de Aguero a los 18 minutos pero finalmente su disparo no paso a mayores.
27,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Presentan hojas disectas, laticíferos y las flores son usualmente zigomorfas."
28,Simple,"Entre la fauna del lago Turkana, a veces llamado el mar de Jade, destacan las percas del Nilo y peces del género Tilapia."
29,Unimembre,Mirko Tavoni (Consorcio de Universidades Italianas ICoN);
30,Compleja,"Otra alternativa para los techos planos de la modernidad sería exagerar un techo tradicional para llamar la atención incluso más a esta, como la Academia Estadounidense de las Artes y las Ciencias de Kallmann McKinnell & Wood en Cambridge, Massachusetts, teniendo tres niveles de techo bajo a cuatro aguas constituyendose uno encima de otro para una declaración enfática de refugio."
31,Compleja,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 toneladas, lo que significó dejar de ingresar unos 120 millones de dólares, también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan."
32,Simple,"Por orden de Felipe V, proyectó una reforma y amejoramiento de la margen izquierda del río Manzanares, lindante con los jardines del Alcázar."
33,Unimembre,Observatorio de Murcia (La Murta).
34,Compleja,"Amaya refirió que a nivel nacional hay 7,870 trabajadores no docentes, quienes ""hemos decidido que si vamos a paro el lunes (hoy) se afectará las clases, porque nosotros somos los que estamos en los centros educativos"", sentenció."
35,Compleja,"En 2008, un acuerdo fue anunciado, posicionando a Ilumination Entertainment como el brazo de entretenimiento familiar de NBC, que produciría de una a dos películas al año a partir de 2010."
36,Compleja,"Tobias Sammet, Nacido el 21 de noviembre de 1977 en Fulda, Alemania es el vocalista, teclista y compositor de la banda de Power metal Edguy, también conocido por su proyecto de opera metal que realizó con Avantasia el cual incluye grandes músicos tales como Andre Matos, Kai Hansen, Michael Kiske, Timo Tolkki, Roy Khan y Jorn Lande."
37,Compleja,"Por último, las comunidades con mayor número de hipotecas canceladas registralmente por cada cien mil habitantes son Murcia (144), La Rioja (118) y la Comunidad Valenciana (113), además de Melilla (118)."
38,Compleja,"Así pues, Roncero publica este viernes en el diario de Prisa -- Messina se 'mourinhiza': bien hecho -- los pormenores de la visita del entrenador del Real Madrid de baloncesto, Ettore Messina, a su homólogo en la sección de fútbol, José Mourinho, quien le enseñó sus métodos para preparar al equipo en Valdebebas."
39,Compleja,"El que la publicidad sea el principal ingreso económico de los medios, los vincula a la economía general y a los puntos de vista e intereses de los grandes grupos económicos, entre los que también están los mismos grupos de comunicación."
40,Compleja,"Desde entonces, Lee ha participado en varios otros proyectos de musicales antes de retornar al escenario protagonizando el musical de la BBC ""The Sound of Musicals""."
41,Simple,"La densidad de población era de 34,47 hab. / km²."
42,Compuesta-Compleja,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde sus inicios con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas, Ramón Alejandro, Gina Pellón, Pedro Ramón López, Viredo Espinosa, Raúl de Zárate, Tony Évora, Nelson Villalobo, Raúl Villarreal, Carmelo González y Alen Lauzán, por mencionar algunos ejemplos."
43,Compleja,Os lo recomiendo y mas sabiendo lo que hay por ahi fuera.
44,Compleja,"Entonces, mientras que el jefe de Estado tenía muchos poderes de jure, tenía muy pocos de facto."
45,Compuesta-Compleja,La última vez ni me saludaron ni me dieron las gracias por comprar.
46,Compuesta-Compleja,"Se quedaron con mi dinero, me mandaron un seguimiento falso de seur y nunca llegó nada a pesar de que el seguimiento decía como entregado."
47,Compleja,José Luis participa en representación del Grupo en las conversaciones auspiciadas por el histórico dirigente nacionalista Telesforo Monzón.
48,Simple,"Algunos de los principales edificios son la iglesia del Salvador ""Na Séniakh"" (1675), la iglesia de San Gregorio (1670), y las iglesias barbicanas de San Juan el Apóstol (1683) y de la Resurrección de Cristo (1670)."
49,Compleja,Es una de las canciones más exitosas entrando en el Top 10 en varios países.
50,Simple,"En esta ocasión conocí al P. Malfatti SJ, Director del Apostolado de la Oración para Alemania y Austria."
51,Compleja,"No hay piedad para los condenados es el segundo disco de la banda madrileña Santa, que ve la luz en el año 1985, bajo el sello discográfico Chapa Records."
52,Simple,"Entre los clásicos se encuentran autores como Marcel Proust, Leon Tolstoi, Fiodor Dostoievski, Giovanni Bocaccio y Molière."
53,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El héroe prusiano Herkus Monte fue aupado por los lituanos durante el régimen comunista soviético como un símbolo de resistencia y libertad.
54,Simple,Los miembros del grupo nominal tienen un vientre amarillo claro y unos costados coloridos.
55,Compuesta-Compleja,"Al crear un hogar funcional, igual que cuando una familia acogedora se ofrece a atender a algún niño, jamás debieran ofertar ""plazas"", porque ni los educadores ni los niños son predecibles como las plazas."
56,Compuesta,"Existe un sujeto individual e indefinible que soy yo, y nadie puede representarme."
57,Simple,Este triunfo supuso su comienzo en el mundo de moda.
58,Compleja,"En está ocasión se incorporaron elementos de cine fantástico, pues los protagonistas no deben enfrentarse a una bestia marina existente, sino al producto de un cruce de material genético de un pez prehistórico y un pulpo común."
59,Compleja,La duración del efecto es de aproximadamente 7 horas cuando ha sido administrado por la vía parenteral y hasta 12 horas si se administró por la vía oral.
60,Simple,George aparece una vez más en Back to the Future III.
61,Simple,Se inicia la construcción del antiguo templo de Nuestra Señora de Guadalupe.
62,Compleja,El Banco Central Europeo advirtió este martes que la eurozona necesita no sólo normas mucho más estrictas sobre el endeudamiento soberano sino mayores controles en el endeudamiento de consumidores y empresas.
63,Compleja,"De muy bajo costo y con software libre, se espera que el prototipo contribuya a la comprensión de la música y al desarrollo de la capacidad creativa de los alumnos."
64,Compleja,"El miércoles pasado, Carlos Reutemann decidió separarse del Peronismo Federal para asegurar el triunfo del justicialismo en las elecciones para gobernador de Santa Fe del año que viene."
65,Compleja,"No empleamos potenciadores de sabor ni ningún artificio culinario que pueda alterar nuestra filosofía de ""comida que cocinan las mamas y abuelas griegas""."
66,Simple,"El fin de la prestigiosa American Academy of Hospitality Sciences es la distinción de la excelencia en viajes, cocina, productos de lujo y servicios."
67,Compleja,La cinta narra la historia del astronauta Leo Davidson quien tiene un aterrizaje forzoso en un planeta habitado por simios inteligentes.
68,Compleja,"""Si ellos cambian de posición, nosotros no tenemos una posición bloqueada"", ha dicho."
69,Simple,Brickell también diseñó Brickell Hammock y su avenida como un centro de mansiones y de lujosas casas.
70,Compleja,"Su detención ocurrió alrededor de las 02:10 horas de ayer, cuando intentaba escapar en el taxi que acababa de robar."
71,Compleja,"La longitud del antiguo dique que separaba el lago del mar, de un kilómetro y medio de longitud, puede ser recorrido por submarinistas."
72,Compleja,"Aun así, si comparamos esta densidad con la del plomo, de unos 11 g / cm³, vemos que representa una considerable compresión, sobre todo cuando se considera que en el interior del blanco tenemos unas densidades iniciales de de unos 0,1 g / cm³ de DT."
73,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En 2006, NCR compró IDVelocity y la división de cajeros automáticos de Tidel, eran equipamientos de alta seguridad para el mercado al por menor."
74,Compuesta-Compleja,"Al final, Calvin y Rusty, así como los otros novatos, son nombrados hermanos en sus respectivas fraternidades, mientras que Frannie se marcha y crea una nueva fraternidad, llevándose a muchas de las hermanas de ΖΒΖ con ella."
75,Compleja,"Actores con experiencia en esta industria del cine son Riki Takeuchi y Show Aikawa, conocidos en el medio por sus actuaciones en la trilogía Dead or Alive del director Takashi Miike (quien posteriormente incursionara en la industria de las películas para cine)."
76,Compuesta-Compleja,"En la empresa también trabaja Juan Pablo quien es el nuevo socio, quien lucha por convertir a Alma en una modelo, Alma se da cuanta de que el trabaja alli y decide no firmar el contrato, la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay, el cual la busca y la regresa a su casa."
77,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"La pista fue primero lanzado a través de iTunes France el 28 de marzo, y globalmente en iTunes el 29 de marzo de 2011."
78,Simple,Es el único miembro del género monotípico Melilestes.
79,Compleja,"También hay hormonas tróficas y no tróficas, según el blanco sobre el cual actúan."
80,Compleja,"Cabe mencionar que dicho establecimiento no contaba con licencia de funcionamiento municipal, ni certificado de Defensa Civil."
81,Compleja,Tellius se encuentra dividida en varias naciones que son gobernadas por beorcs o laguz.
82,Compleja,La estabilidad financiera es algo que Macedonia reconoce.
83,Compuesta-Compleja,"A partir del mes de octubre, todos los usuarios que entren en la web, compartan opiniones y voten por su ""Quality Hunter"" preferido tendrán la oportunidad de conseguir un vuelo de ida y vuelta para dos personas a cualquiera de los destinos de Finnair en Europa o Asia."
84,Compuesta-Compleja,"Me han robado la cartera con toda la documentación, busco en la Web de www.dgt.es para obtener información de como volver a obtener el permiso y niguna de las opciones contempla este supuesto o almenos no he sabido encontrarlo, llamo por telefono y NO RESPONDEN y ademas sale una locución casi imperceptible que te remiten a la Web, un -10 por el servicio :-("
85,Simple,Las pizzas son buenas pero muy muy caras.
86,Compleja,"Manhattan Valley es un barrio localizado en el Upper West Side de Manhattan en la Ciudad de Nueva York, y limita con West 110th Street al norte, Central Park West al este, West 96th Street al sur, y Broadway al oeste."
87,Compleja,"Sauron se unió a la Hermandad de mutantes diabólicos del Sapo, conformada por Blob, Pyro y Phantazia, a pesar de no ser en realidad un mutante."
88,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Fue reportada por primera vez por el equipo de la misión COROT en 2008.
89,Compleja,Aparece en la literatura con la denominación aceitera de hoja de lata por ser frecuente que se elabore con este material.
90,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En cuanto a ARS D, que es la variante más numerosa de esta categoría de cerámica fina, las producciones más frecuentes en la superficie del yacimiento fueron: Hayes 91, 94, 99 y 104."
91,Compleja,"El 'Castilla' es un buque hospital que tiene dos grandes quirófanos, lo cual explica que dentro de la dotación también vaya un equipo de sanitarios."
92,Unimembre,Giorgio Persano de Milán y McKee Gallery de Nueva York.
93,Simple,Fernando el Católico lo ratificó un mes después.
94,Compuesta-Compleja,"Fue en estos años en que él tuvo un gran acercamiento con ese país, ya que participó como invitado de Mercedes Sosa en el Festival Internacional de la Canción de Viña del Mar de 1992 y colaboró además con importantes artistas chilenos como Isabel Parra, Congreso y Los Jaivas."
95,Unimembre,Asamblea de la Jerarquía Católica de Egipto;
96,Compleja,"El Hotel Oria, integrado recientemente en la cadena Sercotel Hoteles, está situado en el centro de Tolosa (Guipúzcoa) una población tranquila con un importante patrimonio artístico y cultural."
97,Compleja,"La Puerta de Alcalá es en la actualidad uno de los referentes monumentales más relevantes de la ciudad de Madrid, aunque la imagen presente debe imaginarse como el colofón de un proceso evolutivo iniciado a finales del siglo XVI."
98,Compleja,"Esta vez, sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao, marcando lo que será una nueva era en elegancia y sofisticación hotelera."
99,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Después de solamente dos temporadas en la First Division, el equipo fue relegado a la Second Division."
100,Compleja,El municipio de Galloway se encuentra ubicado en las coordenadas.
101,Simple,Los equipos restantes juegan entre sí por los puestos 13 a 16.
102,Compleja,"Aunque rodeado de amenazas chiítas, Al - Qadir tuvo el apoyo de los turcos sunnitas gaznavíes en el este y más tarde, de los selyúcidas en el norte."
103,Simple,La organización de la energía luminosa es específica en situaciones prácticas de factores geométricos con respecto a la luz.
104,Compleja,"Una vez que el conquistador reunía suficiente oro, era frecuente que se volviese a España a disfrutar de su fortuna."
105,Compleja,"Los momentos de mayor pánico y angustia se vivieron en boliches y bailantas de la zona, a las 6:56 horas (hora local), cuando los locales bailables se encontraban con su capacidad colmada."
106,Compleja,"Hasta el momento un total de 6 equipos diferentes han logrado alzarse con el triunfo en esta competición desde que fuera organizada en el año 2006, uno distinto en cada edición, siendo el FK Berane el que más ascensos a Primera División posee en su historial."
107,Compleja,Un observador externo puede tomar directamente las medidas nomotéticas (ejemplos de éstas medidas pueden ser el peso de un objeto o la cantidad de veces que se presenta un comportamiento particular);
108,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En 2000 Ouyahia fue elegido líder de su partido, el National Rally for Democracy."
109,Compleja,"Flanqueado al norte, sur y este por barreras naturales, el emplazamiento permitía a los conquistadores defender mejor el poblado de cualquier ataque indígena."
110,Simple,"Realizan el catering con productos de alta calidad, e incluso de procedencia ecológica."
